# S1801 Entrance Resolution Verification Report

- Source: index.html | Target: docs/howto/scenario-watch-music.html | File: docs/howto/scenario-watch-music.md | Status: RESOLVED
- Source: index.html | Target: docs/howto/scenario-watch-network.html | File: docs/howto/scenario-watch-network.md | Status: RESOLVED
- Source: index-ru.html | Target: docs/howto/scenario-watch-music-ru.html | File: docs/howto/scenario-watch-music-ru.md | Status: RESOLVED
- Source: index-ru.html | Target: docs/howto/scenario-watch-network-ru.html | File: docs/howto/scenario-watch-network-ru.md | Status: RESOLVED
- Source: index-uk.html | Target: docs/howto/scenario-watch-music-uk.html | File: docs/howto/scenario-watch-music-uk.md | Status: RESOLVED
- Source: index-uk.html | Target: docs/howto/scenario-watch-network-uk.html | File: docs/howto/scenario-watch-network-uk.md | Status: RESOLVED
- Source: docs/HOW_TO.md | Target: howto/scenario-watch-music.md | File: docs/howto/scenario-watch-music.md | Status: RESOLVED
- Source: docs/HOW_TO.md | Target: howto/scenario-watch-network.md | File: docs/howto/scenario-watch-network.md | Status: RESOLVED
- Source: docs/HOW_TO_RU.md | Target: howto/scenario-watch-music-ru.md | File: docs/howto/scenario-watch-music-ru.md | Status: RESOLVED
- Source: docs/HOW_TO_RU.md | Target: howto/scenario-watch-network-ru.md | File: docs/howto/scenario-watch-network-ru.md | Status: RESOLVED
- Source: docs/HOW_TO_UK.md | Target: howto/scenario-watch-music-uk.md | File: docs/howto/scenario-watch-music-uk.md | Status: RESOLVED
- Source: docs/HOW_TO_UK.md | Target: howto/scenario-watch-network-uk.md | File: docs/howto/scenario-watch-network-uk.md | Status: RESOLVED
- Source: docs/WEAR_OS_SMB_SETUP.md | Target: howto/scenario-watch-network.md | File: docs/howto/scenario-watch-network.md | Status: RESOLVED
- Source: docs/WEAR_OS_SMB_SETUP.md | Target: howto/scenario-watch-music.md | File: docs/howto/scenario-watch-music.md | Status: RESOLVED
- Source: docs/WEAR_OS_SMB_QUICK_REF.md | Target: howto/scenario-watch-network.md | File: docs/howto/scenario-watch-network.md | Status: RESOLVED

Total: 15 | Resolved: 15 | Unresolved: 0
