"file","bytes","mean","std","verdict"
"018547a02fecf4785e3a34cef71f2f6e9988f189.png","541","16","0","black"
"1507e5d424b402f10172160f5c21ef37a5d2247e.png","467","15.8","0.4","black"
"42da900e0e56d8f6618b411309c20cbc4a1ffb2d.png","1012","0.9","1.2","black"
"3c85e1f50c31d825a65a2f23fede5f5ec662a56d.png","1200","1.1","2.4","black"
"96240d20365e0437f2ea3d5f69163b0b653dca20.png","584","67.5","4","flat"
"9305999036c0c4a65da439b472606c7ac73d67d1.png","2378","115.4","4.4","flat"
"436e79b6a440dca29467253f6ada201b8710c12c.png","2646","17.8","6.1","black"
"9b7d069692d543f1d394df65285e857e9406ed74.png","64385","104.4","10.3","flat"
"3b47ca81ef127e237f60deaa2c31fe5d2a7dfff5.png","53108","77.6","12.7","picture"
"9a65640f335caf75c5e5e6bddb901f7be8ebe871.png","36873","61.8","13.1","picture"
"5b04b6f731ee1d84720bd37f0bf96396395d8267.png","53425","48.2","13.3","picture"
"b5481f9ae91b6ebaffee82aaa8feea010dd9958a.png","19981","239.2","13.9","picture"
"ff22fdacd204c8c43b9c4418f14560c76e12dc35.png","44007","80.4","14.8","picture"
"243ff3a19e06031d8ea845a390c447d0028e1e4a.png","37349","26","14.9","picture"
"26a50ff9829166b47872e6a65e0b10803550df5f.png","46166","64.9","15","picture"
"44175b68d0c7bb5354f3e099cf693c4e7a1503a0.png","22511","37.6","15.2","picture"
"abda659abd71b52dfb16d3d42587d1f868b7f355.png","64236","67.1","15.4","picture"
"18020aadf80af2a5c196769236ed4de4fa065896.png","62782","59.3","15.5","picture"
"f293182a461efe03ae364e58ae9fde5c4dba32f9.png","80385","145.9","15.7","picture"
"49bd9d0b9fec1fff9585d35a2658ed4c6b357303.png","54420","29.8","15.9","picture"
"084e3748fd1853bfb1926dae6b44a4142b4e2fb1.png","45750","43.8","15.9","picture"
"4e37d7e9855822a07024d4108bdac0f64d1250cf.png","12552","9.6","16.2","picture"
"94ce03ddb794cb5823648d63095d68300b0c5c54.png","48695","30.9","17.8","picture"
"25e1e25048b71b0d7390f60f4d6d6c9028d11662.png","60845","93.2","18","picture"
"7b06f279fedb2b81d425c0146cc9790e1483fedb.png","40421","54.8","18.2","picture"
"205e181dc0ef80e4a327f34b838422bebc03f61d.png","61512","42","18.2","picture"
"31e99061493055911653812eb3818a26283d371f.png","52482","39.2","18.5","picture"
"c1a1ec69224ada644e8cd5767eeeac4668609217.png","41112","47.8","19","picture"
"59d00001471cfa7376f8bd0674b51098f20f0e64.png","35949","21.6","19.2","picture"
"fcaaafe99423041c87e49db0e45e2c31d9b16345.png","69251","91.8","19.2","picture"
"eaeb866b606699dc4a430779e0b4ba68b5773bd3.png","7873","230.8","19.6","picture"
"ed07cef2b3126e2b893c8f92bea7fc7b2bd4775a.png","51013","173.6","19.6","picture"
"8e4c7ff18c25946bb9e2d70d2bc2d1ebe66a7f77.png","73728","107.2","19.7","picture"
"c17a9ad6bcf859f8b34d8f7907e7c622f95d227f.png","49881","101.2","19.8","picture"
"0b51e6df2b7200fa6a5d084e760cddd12609a44b.png","35455","154.5","20","picture"
"45b6ee1a3888752c8397ac00e00eff1b35a86b59.png","29007","182","20.1","picture"
"770d0d0f67b6546d15b8052818260cb7cbb14f64.png","31971","55.1","20.1","picture"
"69113ed9ab3925f95e0635b12133eb5143e23b29.png","36228","20.2","20.2","picture"
"998ba8f780e61bd6035012a8cb36dccbc8f7def7.png","19457","13.5","20.6","picture"
"eafec4a355d15c2501e2a28377a356047974529b.png","66838","165","20.6","picture"
"0230ac9619ab046b55c6ccc21b7814ce5ec40ae9.png","31709","31.9","21","picture"
"6643d8ca64bd5526d9d92bbcb5e77bcc56184a9f.png","19587","214.3","21.3","picture"
"be6e8b5fdd45538a0c8345ef01b474861156f3f4.png","68298","71","21.4","picture"
"541fcdc29d49688a5fd9cf35be67c04416f2f018.png","20545","18.8","21.4","picture"
"1292371bddad1b9ba7127b58b689123079e5ca67.png","34916","83.3","21.6","picture"
"7e5ad6f1f829e1a15b8424012b71c6368edf2f2f.png","67026","91.9","22.1","picture"
"baa76721bf0b1903070a28127b120d6c87318678.png","36816","199.7","22.3","picture"
