"provider","probe_ms","probe_ok","kinds","capture_ms","frame_ok","frame_bytes"
"1.138","4385","True","audio+data+video","6327","True","1012"
"1.158","1829","True","audio+video","1117","True","55253"
"10.42","893","True","audio+data+video","1011","True","41040"
"104.106","1536","True","audio+video","1599","True","49849"
"104.22","2619","True","audio+video","2720","True","52596"
"104florencia.co","5679","True","audio+data+video","4106","True","42944"
"108.253","6145","True","audio+video","9583","True","45020"
"11.235","624","True","audio+video","717","True","41560"
"110.140","434","True","audio+video","471","True","20037"
"112.40","599","True","audio+video","675","True","48317"
"118.152","2351","True","audio+video","2534","True","34629"
"12.107","3515","True","audio+data+video","3503","True","55477"
"120.157","1338","True","audio+video","1500","True","58671"
"125.10","5405","False","","5407","False","0"
"126.131","5405","False","","5401","False","0"
"131.133","5496","False","","5418","False","0"
"14.26","3400","True","audio+video","2916","True","45603"
"141.161","2336","True","audio+video","2164","True","26985"
"15.19","8273","False","","688","True","48810"
"15.222","2725","True","audio+data+video","2758","True","46012"
"15.230","1564","True","audio+video","3298","True","49850"
"15.27","8265","False","","565","True","50880"
"150.46","916","True","audio+subtitle+video","936","True","43298"
"153.254","1898","True","audio+video","1913","True","37796"
"159.128","672","True","audio+video","683","True","47910"
"15plusmg.ru","2054","True","audio+video","2192","True","30445"
"161.117","6605","True","audio+data+video","5925","True","61998"
"172.14","973","True","audio+data+video","4200","True","52380"
"176.130","5413","False","","5390","False","0"
"176.50","5421","False","","5387","False","0"
"178.40","1523","False","","1527","False","0"
"179.122","837","True","audio+video","789","True","37331"
"18.177","1331","True","audio+video","2911","True","51948"
"182.79","291","True","audio+video","318","True","41240"
"184.193","1916","True","audio+video","1770","True","62549"
"193.35","8467","False","","10544","False","0"
"197.22","6605","True","audio+video","6837","True","54999"
"197.59","2176","True","audio+video","2300","True","48249"
"1tvcrimea.ru","1947","True","audio+video","1911","True","36816"
"2.18","554","True","audio+video","657","True","33679"
"20.255","5778","False","","5749","False","0"
"207.80","3505","True","audio+data+video","3978","True","56317"
"225.124","6871","True","audio+data+video","13581","True","62748"
"238.10","5407","False","","5386","False","0"
"238.229","3467","True","audio+video","3091","True","60103"
"24.163","2674","True","audio+video","2679","True","44085"
"243.239","3528","True","audio+video","3004","True","54161"
"244.134","3518","True","audio+video","5572","True","59038"
"244.63","5388","False","","5466","False","0"
"246.24","1340","True","audio+video","1307","True","51493"
"246.4","4454","True","audio+data+video","5259","True","65262"
"249.178","2394","True","audio+video","2499","True","31709"
"28.50","2785","True","audio+video","2799","True","60145"
"28kanala.eus","2237","True","audio+video","2159","True","48862"
"3.2","2325","True","audio+video","2383","True","2646"
"30a-tv.com","1120","True","audio+video","495","False","0"
