"name","media_kind","old_skipcapturefirst","new_capturefirst","agree","media_found","media_codecs"
"DW (Deutsche Welle) German","VIDEO","alive","alive","True","audio+video","aac,h264"
"DW (Deutsche Welle) Russian","VIDEO","alive","alive","True","audio+video","aac,h264"
"Altyn Asyr (Altyn Asyr)","VIDEO","alive","alive","True","audio+video","aac,h264"
"Arkadag TV (Arkadag TV)","VIDEO","alive","alive","True","audio+video","aac,h264"
"Asgabat (Aşgabat)","VIDEO","alive","alive","True","audio+video","aac,h264"
"Beijing Satellite TV (BRTV 北京卫视)","VIDEO","alive","alive","True","audio+video","aac,h264"
"Canal 7 Neuquen (Canal 7 Neuquén)","VIDEO","alive","alive","True","audio+video","aac,h264"
"Al Jazeera Arabic","VIDEO","alive","alive","True","audio+video","aac,h264"
"Al Jazeera English","VIDEO","alive","alive","True","audio+video","aac,h264"
"Bloomberg TV Asia","VIDEO","alive","alive","True","audio+video","aac,h264"
"Bloomberg TV Europe","VIDEO","alive","alive","True","audio+video","aac,h264"
"Bloomberg TV US","VIDEO","alive","alive","True","audio+video","aac,h264"
"Current Time / Nastoyashchee Vremya (RFE/RL) Russian","VIDEO","alive","alive","True","audio+video","aac,h264"
"DW (Deutsche Welle) English","VIDEO","alive","alive","True","audio+video","aac,h264"
"DW (Deutsche Welle) English","VIDEO","alive","alive","True","audio+video","aac,h264"
"DW (Deutsche Welle) Spanish","VIDEO","alive","alive","True","audio+video","aac,h264"
"DW Arabic","VIDEO","alive","alive","True","audio+video","aac,h264"
"Salira TV (Salira TV)","VIDEO","alive","alive","True","audio+video","aac,h264"
"Punjabi Radio USA","AUDIO","alive","alive","True","audio","mp3"
"==70's Hits==","AUDIO","alive","alive","True","audio","mp3"
"Arirang TV (Korea) Channel 3","VIDEO","unknown","unknown","True","",""
"Arirang TV (Korea) English / Channel 1","VIDEO","unknown","unknown","True","",""
"Arirang TV (Korea) Korean / Channel 2","VIDEO","unknown","unknown","True","",""
"EnerGeek Radio (EnerGeek Radio)","VIDEO","unknown","unknown","True","",""
